metric,value,unit,note
g0_star_fp,1.2491502,1,φ-FP ex114
g0_mu,2.0211674,1,φ·g0*
g0_tau,3.2703176,1,φ²·g0*
r_L_star_eps_0.12,4,1,ex116
r_L_star_eps_0.08,8.6522217,1,ex116
zeta_e_win_20_35,0.057332885,1,L[h]/RMS(h)
rmse_over_A_e_win_20_35,0.0054860017,1,fit cos/sin
zeta_e_win_25_32,0.031895587,1,L[h]/RMS(h)
rmse_over_A_e_win_25_32,0.0050401598,1,fit cos/sin
zeta_mu_win_20_35,0.10834535,1,L[h]/RMS(h)
rmse_over_A_mu_win_20_35,0.022430074,1,fit cos/sin
zeta_mu_win_25_32,0.096795559,1,L[h]/RMS(h)
rmse_over_A_mu_win_25_32,0.02122904,1,fit cos/sin
zeta_tau_win_20_35,0.29575534,1,L[h]/RMS(h)
rmse_over_A_tau_win_20_35,0.082213869,1,fit cos/sin
zeta_tau_win_25_32,0.21663606,1,L[h]/RMS(h)
rmse_over_A_tau_win_25_32,0.057387817,1,fit cos/sin
pearson_zeta_rmse_over_A_n6,0.99673376,1,ex118-style
