q1,q2,lambda,alpha1,alpha2,alpha3
0.45000000,0.55000000,1.0000000000,0.4499999989,0.5500000011,0.0000000000
0.46111111,0.55000000,1.0111111111,0.4560439476,0.5439560524,0.0000000000
0.47222222,0.55000000,1.0222222222,0.4619564996,0.5380435004,0.0000000000
0.48333333,0.55000000,1.0333333333,0.4677419350,0.5322580650,0.0000000000
0.49444444,0.55000000,1.0444444444,0.4734042547,0.5265957453,0.0000000000
0.50555556,0.55000000,1.0555555556,0.4789473780,0.5210526220,0.0000000000
0.51666667,0.55000000,1.0666666667,0.4843750025,0.5156249975,0.0000000000
0.52777778,0.55000000,1.0777777778,0.4896907214,0.5103092786,0.0000000000
0.53888889,0.55000000,1.0888888889,0.4948979598,0.5051020402,0.0000000000
0.55000000,0.55000000,1.1000000000,0.5000000075,0.4999999925,0.0000000000
0.40000000,0.60000000,1.0000000000,0.3999999978,0.6000000022,0.0000000000
0.42222222,0.60000000,1.0222222222,0.4130434774,0.5869565226,0.0000000000
0.44444444,0.60000000,1.0444444444,0.4255319122,0.5744680878,0.0000000000
0.46666667,0.60000000,1.0666666667,0.4375000023,0.5624999977,0.0000000000
0.48888889,0.60000000,1.0888888889,0.4489795917,0.5510204083,0.0000000000
0.51111111,0.60000000,1.1111111111,0.4600000010,0.5399999990,0.0000000000
0.53333333,0.60000000,1.1333333333,0.4705882309,0.5294117691,0.0000000000
0.55555556,0.60000000,1.1555538706,0.4802765592,0.5187382154,0.0009852254
0.57777778,0.60000000,1.1771324323,0.4809971838,0.4998858089,0.0191170073
0.60000000,0.60000000,1.1976878828,0.4820540227,0.4820540357,0.0358919416
0.35000000,0.65000000,1.0000000000,0.3499999963,0.6500000037,0.0000000000
0.38333333,0.65000000,1.0333333333,0.3709677398,0.6290322602,0.0000000000
0.41666667,0.65000000,1.0666666667,0.3906249967,0.6093750033,0.0000000000
0.45000000,0.65000000,1.1000000000,0.4090909027,0.5909090973,0.0000000000
0.48333333,0.65000000,1.1333333333,0.4264705848,0.5735294152,0.0000000000
0.51666667,0.65000000,1.1664013259,0.4367136907,0.5510514066,0.0122349026
0.55000000,0.65000000,1.1975294429,0.4396735239,0.5233510428,0.0369754334
0.58333333,0.65000000,1.2268515505,0.4430173973,0.4976441215,0.0593384812
0.61666667,0.65000000,1.2547171229,0.4466689240,0.4734883509,0.0798427251
0.65000000,0.65000000,1.2813565969,0.4505773594,0.4505773598,0.0988452808
0.30000000,0.70000000,1.0000000000,0.2999999999,0.7000000001,0.0000000000
0.34444444,0.70000000,1.0444444444,0.3297872312,0.6702127688,0.0000000000
0.38888889,0.70000000,1.0888888889,0.3571428551,0.6428571449,0.0000000000
0.43333333,0.70000000,1.1333333333,0.3823529393,0.6176470607,0.0000000000
0.47777778,0.70000000,1.1766573058,0.3931064354,0.5821451865,0.0247483781
0.52222222,0.70000000,1.2166529316,0.3992494895,0.5460387374,0.0547117731
0.56666667,0.70000000,1.2541308362,0.4056251120,0.5130031351,0.0813717529
0.61111111,0.70000000,1.2896372646,0.4121903965,0.4822635929,0.1055460106
0.65555556,0.70000000,1.3234996641,0.4189198288,0.4533141755,0.1277659958
0.70000000,0.70000000,1.3559233523,0.4257986033,0.4257986035,0.1484027932
0.25000000,0.75000000,1.0000000000,0.2500000048,0.7499999952,0.0000000000
0.30555556,0.75000000,1.0555555556,0.2894736800,0.7105263200,0.0000000000
0.36111111,0.75000000,1.1111111111,0.3249999987,0.6750000013,0.0000000000
0.41666667,0.75000000,1.1656367088,0.3452591459,0.6314785691,0.0232622850
0.47222222,0.75000000,1.2154740069,0.3554432005,0.5852465341,0.0593102654
0.52777778,0.75000000,1.2618109171,0.3654801731,0.5438224262,0.0906974007
0.58333333,0.75000000,1.3055531333,0.3754339891,0.5058102082,0.1187558027
0.63888889,0.75000000,1.3471792649,0.3853435973,0.4703739980,0.1442824046
0.69444444,0.75000000,1.3869583230,0.3952386495,0.4369545403,0.1678068102
0.75000000,0.75000000,1.4250423982,0.4051460234,0.4051460340,0.1897079426
0.20000000,0.80000000,1.0000000000,0.1999999964,0.8000000036,0.0000000000
0.26666667,0.80000000,1.0666666667,0.2500000006,0.7499999994,0.0000000000
0.33333333,0.80000000,1.1331627369,0.2894908391,0.7013795397,0.0091296212
0.40000000,0.80000000,1.1943608597,0.3052926622,0.6417810241,0.0529263137
0.46666667,0.80000000,1.2504729213,0.3200692958,0.5900871700,0.0898435342
0.53333333,0.80000000,1.3031991760,0.3342056191,0.5435618895,0.1222324914
0.60000000,0.80000000,1.3532865135,0.3478942932,0.5007840569,0.1513216499
0.66666667,0.80000000,1.4011007576,0.3612561516,0.4608726778,0.1778711706
0.73333333,0.80000000,1.4468220351,0.3743815253,0.4232147074,0.2024037673
0.80000000,0.80000000,1.4905252036,0.3873468645,0.3873468732,0.2253062623
0.15000000,0.85000000,1.0000000000,0.1499999974,0.8500000026,0.0000000000
0.22777778,0.85000000,1.0777777778,0.2113402037,0.7886597963,0.0000000000
0.30555556,0.85000000,1.1526367067,0.2451092887,0.7186523902,0.0362383211
0.38333333,0.85000000,1.2196886515,0.2665484745,0.6534400630,0.0800114625
0.46111111,0.85000000,1.2822247980,0.2862201265,0.5963450275,0.1174348460
0.53888889,0.85000000,1.3415466586,0.3046998953,0.5447884920,0.1505116128
0.61666667,0.85000000,1.3981768510,0.3222974241,0.4973562511,0.1803463248
0.69444444,0.85000000,1.4523336770,0.3392205303,0.4531208599,0.2076586098
0.77222222,0.85000000,1.5040857607,0.3556305383,0.4114031159,0.2329663459
0.85000000,0.85000000,1.5534117580,0.3716659610,0.3716659583,0.2566680807
0.10000000,0.90000000,1.0000000000,0.0999999943,0.9000000057,0.0000000000
0.18888889,0.90000000,1.0886739411,0.1689966285,0.8223157669,0.0086876046
0.27777778,0.90000000,1.1685127146,0.2008127546,0.7375256091,0.0616616362
0.36666667,0.90000000,1.2416804948,0.2283554185,0.6665241224,0.1051204591
0.45555556,0.90000000,1.3110087544,0.2533390390,0.6038677715,0.1427931895
0.54444444,0.90000000,1.3772784440,0.2764719764,0.5472196985,0.1763083251
0.63333333,0.90000000,1.4407457646,0.2981831353,0.4951669823,0.2066498824
0.72222222,0.90000000,1.5014635091,0.3187846887,0.4467105259,0.2345047854
0.81111111,0.90000000,1.5593772192,0.3385288608,0.4010782880,0.2603928512
0.90000000,0.90000000,1.6143568811,0.3576348453,0.3576348396,0.2847303151
0.05000000,0.95000000,1.0000000000,0.0499999916,0.9500000084,0.0000000000
0.15000000,0.95000000,1.0957269815,0.1160840342,0.8490401373,0.0348758285
0.25000000,0.95000000,1.1801456817,0.1556265659,0.7587525648,0.0856208693
0.35000000,0.95000000,1.2601586340,0.1900713498,0.6812552971,0.1286733531
0.45000000,0.95000000,1.3369169469,0.2209693971,0.6126113402,0.1664192627
0.55000000,0.95000000,1.4106423953,0.2491587407,0.5506796377,0.2001616216
0.65000000,0.95000000,1.4813314995,0.2752293769,0.4939736752,0.2307969479
0.75000000,0.95000000,1.5488813143,0.2996392049,0.4413629622,0.2589978329
0.85000000,0.95000000,1.6131184444,0.3227651604,0.3919386833,0.2852961562
0.95000000,0.95000000,1.6738001249,0.3449338181,0.3449338181,0.3101323638
0.00000100,1.00000000,1.0000000000,0.0000000000,1.0000000000,0.0000000000
0.11111200,1.00000000,1.0946813875,0.0586019866,0.8827959649,0.0586020484
0.22222300,1.00000000,1.1862587098,0.1081555927,0.7836888296,0.1081555776
0.33333400,1.00000000,1.2746889528,0.1509783709,0.6980432416,0.1509783875
0.44444500,1.00000000,1.3598966403,0.1886911332,0.6226177336,0.1886911332
0.55555600,1.00000000,1.4417709042,0.2224697426,0.5550605148,0.2224697426
0.66666700,1.00000000,1.5201595405,0.2531973681,0.4936052637,0.2531973681
0.77777800,1.00000000,1.5948601236,0.2815609554,0.4368780930,0.2815609516
0.88888900,1.00000000,1.6656068441,0.3081161093,0.3837677772,0.3081161135
1.00000000,1.00000000,1.7320508076,0.3333333333,0.3333333333,0.3333333333
